,Q1,Q13_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q5_1,Q6_1,Q9_1,Q8_1,Q7_1,Q10_1,Q11_1
0,401,0,4,1,1,4,3,1,4,3,3,1,1,4,3,3,4,3,4,3
1,403,5,4,2,1,4,3,1,4,4,3,3,1,5,1,3,3,3,2,1
2,404,8,3,2,1,4,5,1,3,3,3,2,1,4,1,5,5,5,1,4
3,405,0,4,1,1,4,4,1,3,3,3,4,2,4,4,4,4,4,1,4
4,406,71,1,4,1,1,4,1,3,3,3,3,1,5,3,4,4,4,1,4
5,407,7,4,2,2,3,3,2,3,2,3,1,1,3,3,2,3,2,3,3
6,408,3,4,1,1,4,4,1,2,4,4,2,1,3,1,4,3,3,2,4
7,409,0,5,1,1,5,5,1,1,3,4,2,1,5,1,3,3,1,2,3
8,410,20,2,3,1,4,3,2,3,4,4,3,3,5,2,4,4,4,2,4
9,411,45,3,2,2,2,3,2,2,4,3,2,3,4,2,3,3,3,2,3
10,412,30,3,3,1,2,3,2,2,4,3,2,2,4,3,3,3,3,2,3
11,413,20,2,2,1,2,2,1,4,4,4,2,1,5,4,4,5,5,4,3
12,415,1,4,2,1,4,3,1,2,4,3,4,1,4,2,4,3,4,2,2
13,417,8,3,2,1,4,3,1,2,3,4,1,2,5,2,5,4,4,2,1
14,419,19,3,1,1,4,3,1,5,3,2,3,2,5,2,5,5,5,2,3
15,420,6,4,1,1,4,3,2,3,3,3,4,2,5,2,4,3,3,2,2
16,421,25,4,2,1,3,5,1,3,4,4,2,2,4,6,4,4,4,1,3
17,423,3,3,1,1,2,1,1,1,4,3,2,1,5,1,4,3,3,2,3
18,424,5,5,2,1,5,2,1,4,2,3,2,1,2,5,3,3,4,3,3
19,425,65,1,3,2,2,2,1,3,4,2,4,3,5,5,3,3,2,5,3
20,426,35,2,3,2,2,4,3,3,3,3,4,3,4,3,3,3,2,3,3
21,427,20,2,2,1,3,2,1,2,4,4,1,2,3,3,4,4,4,2,3
22,429,10,2,1,1,2,3,1,2,3,4,2,2,4,8,4,3,2,2,2
23,430,9,3,1,2,4,3,1,2,4,4,2,2,4,2,4,4,4,2,4
24,431,0,4,1,1,4,5,1,1,4,4,2,1,5,1,5,4,3,2,3
25,432,2,4,1,1,1,5,1,1,5,4,1,1,3,1,5,4,4,1,4
