,Q1,Q13_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q5_1,Q6_1,Q9_1,Q8_1,Q7_1,Q10_1,Q11_1
0,0000,17,2,2,1,1,3,3,3,2,2,2,3,3,5,2,2,3,2,3
1,0000,55,2,2,2,2,2,2,3,3,3,3,1,2,3,2,3,3,3,4
2,401,9,4,1,1,3,4,1,4,3,3,1,1,4,4,3,3,3,4,4
3,403,15,4,2,1,4,3,1,3,4,4,2,1,5,1,4,3,4,3,1
4,403,5,3,2,1,4,3,1,1,4,3,2,2,4,2,3,3,3,3,2
5,404,5,3,2,1,3,4,1,2,3,3,3,1,5,1,5,5,5,1,4
6,405,2,4,2,1,4,4,1,4,3,3,3,1,5,1,4,4,4,1,3
7,406,50,2,3,1,2,2,2,2,3,3,3,1,4,6,4,4,4,1,4
8,407,5,3,2,1,3,3,1,3,3,3,2,1,4,3,4,4,4,3,2
9,408,30,3,1,1,3,4,1,5,4,4,1,2,4,3,4,3,3,2,4
10,409,0,5,1,1,5,1,1,3,3,4,2,1,4,1,2,2,2,2,2
11,410,40,2,3,1,2,3,2,2,4,4,3,3,4,2,5,4,4,4,4
12,411,30,3,2,1,3,2,2,2,4,4,3,2,3,2,3,3,1,3,3
13,412,30,3,3,1,2,2,1,2,4,3,2,2,3,4,3,3,4,2,3
14,413,20,3,2,1,2,3,2,4,4,4,2,1,5,3,4,5,5,5,4
15,415,18,3,4,1,4,3,1,3,4,3,2,2,3,3,4,4,4,2,4
16,416,22,2,3,1,2,1,1,3,4,4,4,4,3,9,3,3,3,5,4
17,417,22,3,4,1,2,4,1,2,4,4,2,2,4,2,5,4,5,4,2
18,418,5,2,2,1,3,4,1,1,4,4,2,1,4,1,5,4,4,1,4
19,419,82,1,4,3,1,1,2,2,2,3,4,4,3,7,5,4,4,5,4
20,420,46,3,2,1,2,3,2,3,3,3,5,3,5,2,4,3,3,2,4
21,421,65,2,3,1,2,3,2,3,4,4,3,4,3,6,4,4,4,4,4
