,Q1,Q5_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4
0,000,9,5,1,1,5,5,1,2,4,3,4
1,000,47,3,3,3,3,3,3,3,3,3,3
2,0000,19,2,2,2,2,2,3,2,2,3,3
3,0000,44,3,1,1,3,3,1,3,3,3,3
4,213094,87,1,2,1,2,2,3,5,2,1,5
5,40072,8,3,1,1,3,4,1,2,4,4,2
6,401,0,4,1,1,4,4,1,3,4,3,1
7,404,10,4,1,1,4,4,2,2,3,3,3
8,405,35,2,3,1,3,3,1,3,3,3,4
9,407,1,4,1,1,5,3,1,3,3,3,2
10,408,5,5,1,1,4,4,1,2,5,4,1
11,409,0,4,1,1,5,4,1,3,3,4,2
12,410,29,3,2,2,4,3,3,3,4,4,3
13,411,1,4,1,1,4,3,2,2,4,3,2
14,412,10,2,3,1,2,3,1,2,4,3,2
15,413,40,2,3,1,3,2,3,4,4,4,2
16,415,31,3,2,1,4,3,1,3,4,3,2
17,416,46,2,3,1,1,1,1,3,5,3,4
18,417,12,4,2,1,4,4,2,2,4,4,2
19,418,0,5,1,1,5,4,1,1,3,4,2
20,419,71,2,3,3,1,1,2,2,2,3,3
21,420,61,2,3,1,3,3,3,3,3,2,5
22,421,37,3,2,1,3,4,1,3,4,4,2
23,422,2,3,1,1,3,3,1,1,4,3,3
24,423,2,4,1,1,4,4,1,1,5,3,2
25,424,4,4,1,1,3,1,1,2,3,4,2
26,425,71,4,3,3,2,3,3,3,3,2,4
27,426,30,4,2,1,4,4,2,3,4,3,3
28,427,0,4,1,1,3,3,1,2,4,4,2
29,428,0,3,2,1,3,3,2,3,4,4,2
30,429,10,4,1,1,4,3,1,3,3,3,2
31,430,2,4,1,1,5,4,1,2,4,4,2
32,431,5,1,1,1,5,4,1,2,4,4,1
33,432,10,3,2,1,3,4,1,1,5,4,1
34,433,20,2,2,1,2,2,1,2,3,3,2
35,434,30,3,2,1,2,4,2,3,3,3,4
36,435,3,3,2,1,3,3,1,3,4,3,2
37,436 ,10,4,1,1,1,2,2,1,3,3,2
38,437,0,4,1,1,4,4,1,3,3,3,1
39,439,13,3,3,1,4,2,1,3,2,3,4
40,440,71,1,3,2,1,2,4,4,3,2,3
41,441,0,5,1,1,5,5,1,1,5,5,1
42,442,50,3,4,1,2,3,1,2,3,2,2
43,444,2,4,1,1,4,4,1,1,4,4,1
44,445,31,4,2,1,5,3,1,2,4,4,1
45,446,2,4,1,1,4,5,1,1,5,4,1
46,447,1,3,1,1,4,3,1,2,3,4,3
47,448,10,5,2,1,5,1,2,1,4,4,1
48,450,34,3,2,1,2,4,1,4,4,4,2
49,451,5,4,1,1,5,4,1,2,3,3,4
50,452,3,5,1,1,5,5,1,1,5,3,1
51,453,9,4,2,1,4,5,1,4,2,2,4
52,454 ,0,5,1,1,5,1,1,3,3,2,3
53,455,8,4,1,1,5,4,1,1,5,4,1
54,456,0,4,1,1,3,5,1,3,3,5,4
55,457,0,2,2,1,2,3,1,3,3,4,2
56,458,0,5,1,1,4,5,1,1,4,3,1
57,459,1,4,1,1,2,2,1,1,1,3,1
58,460,5,4,2,1,4,5,1,2,4,4,3
59,461,3,5,1,1,4,3,4,2,5,4,1
60,462,0,5,1,1,4,4,1,2,4,4,2
61,463,0,5,1,1,3,3,1,3,4,4,2
62,464,9,4,1,1,4,4,1,3,3,3,3
63,465,0,4,2,1,5,5,1,1,4,3,2
64,466,0,4,2,1,4,3,1,1,4,3,2
65,467,3,5,1,1,4,4,1,3,5,4,2
66,468,20,3,1,1,4,2,1,4,3,4,3
67,469,5,4,1,1,4,4,1,1,4,4,2
68,470,0,5,1,1,5,5,1,1,5,5,1
69,471,10,4,1,1,4,4,1,2,4,3,2
70,473,0,4,1,1,5,5,2,2,5,5,1
71,474,25,5,2,1,4,4,1,2,5,4,1
72,475,28,2,2,1,2,3,1,4,3,2,4
73,477,20,5,1,1,4,4,2,4,3,3,4
74,478,0,5,1,1,5,5,1,1,5,3,1
75,478,1,5,1,1,5,5,1,1,5,3,1
76,479,0,3,1,1,3,3,1,1,4,4,1
77,480,0,4,1,1,4,4,1,2,4,3,1
78,481,0,5,1,1,4,4,1,1,5,3,1
79,484,30,3,4,1,3,4,1,2,3,3,3
80,485,20,2,3,1,2,4,2,3,4,3,1
81,486,0,3,1,2,3,2,1,3,3,2,3
82,487,33,4,3,1,5,4,1,3,4,3,3
83,488,0,4,1,1,5,4,1,1,4,4,1
84,489,1,3,1,1,3,3,1,4,4,5,1
85,490,41,4,2,1,4,4,1,3,3,4,2
86,491,1,4,1,1,4,4,1,3,3,3,3
87,491,0,4,1,1,5,4,1,3,3,3,3
88,492,4,5,1,1,5,5,1,3,4,3,2
89,494,2,3,2,1,4,3,1,1,4,3,1
90,496,28,4,2,1,5,5,2,3,4,4,2
91,497,8,5,1,1,4,4,1,2,4,4,2
92,498,19,3,2,1,4,4,1,4,4,3,3
93,499,1,5,1,1,5,5,1,1,4,4,1
94,500,7,4,2,1,2,5,1,2,4,4,1
95,50036,0,5,1,1,4,4,1,1,5,5,1
96,501,8,4,1,1,4,5,1,3,4,4,1
97,502,31,3,3,1,2,2,3,1,1,1,5
98,503,0,5,1,1,5,5,1,2,5,5,1
99,504,60,3,3,1,3,4,1,2,3,3,5
100,505,20,3,2,1,4,4,2,4,3,3,4
101,506,40,2,3,1,3,4,1,2,4,4,3
102,507,10,1,1,1,4,2,1,3,4,4,3
103,508,10,4,2,1,2,2,1,2,3,3,3
104,509,15,3,2,1,3,1,1,2,4,4,1
105,510,32,2,4,1,2,2,4,4,3,2,3
106,511,19,4,2,1,3,3,1,4,4,3,3
107,513,1,5,1,1,5,5,1,2,5,5,3
108,514,42,3,3,1,3,3,2,4,3,2,2
109,515,30,3,2,2,3,4,2,3,2,3,2
110,516,0,1,1,1,1,3,1,3,4,3,2
111,517,1,4,1,1,4,5,1,3,3,3,3
112,518,10,2,1,1,2,3,1,3,4,3,3
113,519,29,2,3,3,1,2,1,1,3,5,1
114,520,10,1,1,1,2,1,1,2,4,3,2
115,521,6,4,2,1,3,4,1,1,4,4,2
116,522,5,3,3,1,2,2,1,3,4,2,3
117,523,0,4,1,1,4,3,1,2,5,5,1
