,Baseline_RT,Baseline_TTL,RI_RT,RI_False_Alarms,Shifting_Congruent_RT,Shifting_Congruent_Accuracy,Shifting_Congruent_FA,Shifting_Incongruent_Accuracy,Shifting_Incongruent_FA,Total_Errors,CogInhib_Incongruent_Accuracy,CogInhib_Incongruent_RT,Conflict_Resolution_Accuracy,Conflict_Resolution_RT,WM_Hits,WM_FA,WM_PR,Min_moves_exit,n_Attempts,WM_Return_Efficiency,VAS_cold,VAS_hot,STAI_cold,STAI_hot,VAS,STAI
0,1.121243737,1.637915288,2.425880901,0.104299919,1.973529869,-0.092098634,,-0.086386485,0.320256308,0.320256308,0.004655355,2.104139029,0.223606798,0.339312747,-0.903800901,-0.684209576,-0.960017576,0,-0.67936622,0.796200526,-0.19,0.09,-0.166666667,0.041666667,-0.1,-0.208333333
1,-1.251891625,-1.948678812,0.615929696,-0.534522484,0.145646515,-0.100615639,0.534522484,0.534522484,,0.534522484,0,-0.755109282,0.223606798,-0.277747009,,-0.324442842,0.324442842,0,,0.324442842,-0.18,-0.05,-0.041666667,0.083333333,-0.19,0.041666667
2,0.807815659,0.93478371,0.931818421,0.471631675,0.637402955,0.036752651,,-0.247373722,0.426401433,0.426401433,-0.251588705,0.790061712,0,0.018866142,0.9968122,0.82762654,0.977331352,0,0.816496581,-1.207023719,-0.61,-0.33,-0.291666667,-0.208333333,-0.24,-1.11E-16
3,0.413124393,-0.386195195,0.529342702,0.031474705,0.6973975,0,,,,,-0.591442024,1.408817987,0.223606798,0.402660908,0.581147299,0.532059131,0.607574863,0,0.6172134,-0.653369685,0.06,0.04,0.166666667,0.166666667,-0.02,-0.083333333
4,-1.262879539,-2.909879316,-1.12118862,-0.551632714,-0.817921309,-0.268387051,0.534522484,0.655352818,-0.646996639,-0.417028828,-0.041708129,-1.158092798,0,-0.211366683,0.534522484,0.058639661,0.541516383,0,0.534522484,-0.388534476,0.03,0.25,0,0.125,0.32,0.041666667
5,1.767428893,2.233204125,1.824069764,1.498413456,0.893723837,-0.100615639,0.534522484,-0.534522484,,0.534522484,0.014272888,1.322384788,0,0.101203021,0.759684205,0.729810323,0.486609683,0,0.534522484,-0.853034291,0,0,-0.125,0.083333333,0,0.125
6,-2.101188696,-1.512292255,-0.99664345,1.532788796,-1.521864974,-0.384257329,0.816496581,-0.271667055,0.324442842,0.884651737,-0.204901016,-0.64336307,0,-0.449806897,,-0.534522484,0.534522484,0,0.534522484,0.534522484,0.12,0.11,0.125,0.083333333,0.41,0.208333333
7,0.471388113,0.206026193,0.459357439,1.263454562,0.118496361,-0.292835036,,-0.643256743,0,0,-0.308290528,0.976094776,-0.223606798,-0.379838649,-0.534522484,0.057008287,-0.811916951,0,-0.816496581,0.029218021,0.45,0.29,0.25,0.166666667,-0.14,0
8,-2.29341621,-1.375787235,-1.928511847,-0.037156324,-2.107743265,0.012101909,0,-0.769054153,0.67936622,0.646996639,-0.078137443,-1.690433641,0.316227766,-0.168198714,-0.656273702,-1.239768758,-0.057336128,0,-0.534522484,1.281147453,0.11,0.2,0.041666667,0,-0.09,0.041666667
9,0.694625067,0.551954496,1.351011271,0.191915475,0.457420249,0.01832012,,-0.584697985,0.320256308,0.320256308,-0.007016548,0.769182459,0,0.135346844,0,0.296735624,-0.087334084,0,0,-0.134838641,-0.2,-0.2,0.041666667,-0.125,0,0.083333333
10,-1.632708614,-2.000974328,-0.944498363,-0.341809502,-0.597907967,0.037118416,,0.452167224,-0.324442842,-0.324442842,0.210992735,-0.278883679,0,-0.196537724,-0.534522484,-0.297547713,-0.509261163,0,-0.534522484,0.473410891,0,-0.13,-0.125,0.083333333,0.47,0.041666667
11,2.444926142,2.309060806,3.249511288,0.941931132,2.174865552,0.024763987,,-0.486186785,0.917662935,0.917662935,0.270839193,1.746043649,0,-0.280550555,,-0.057977104,0.057977104,0,,0.050283646,-0.04,0.1,0,0.166666667,0.14,0.083333333
12,0.913773689,1.085765371,3.842952812,-0.534522484,1.90488539,0,,-0.534522484,0.534522484,0.534522484,0.088388348,1.142541404,0,0.365995377,,0.534522484,-0.534522484,0,,-0.534522484,-0.11,0.11,-0.083333333,0.083333333,1.04,0.916666667
13,-0.451206985,-0.020359111,0.31291795,-2.46433956,-0.142673433,-0.055067743,,-0.021751984,-0.127515343,-0.127515343,-0.200476114,-0.187185062,-0.223606798,-0.107184173,,-0.534522484,0.534522484,0,-0.534522484,0.534522484,-0.03,-0.15,0.041666667,-0.083333333,0.92,0.458333333
14,-0.104842134,-0.140892515,0.212027291,-0.709870491,0.218444783,0,,0.0513327,0.324442842,0.324442842,0.035675726,1.193347335,0,-0.098787091,-0.534522484,-0.241925895,-0.538260449,0,-0.534522484,0.289542346,-0.26,0.28,-0.125,0.208333333,0.26,0.25
15,-0.703236115,-2.604488147,-0.50808891,0.851126643,-1.113638389,-0.022669518,0.534522484,0.369253256,-0.324442842,-0.163299316,-0.002922204,-0.765018794,-0.223606798,-0.382514239,,-0.074866262,0.074866262,0,0.534522484,0.165802318,0,-0.02,0.041666667,-0.083333333,-0.04,0.208333333
16,0.140466077,1.251965254,1.44153509,1.206598804,0.742710961,-0.054570657,0,-0.279585161,0,0,0.197384667,1.914512454,0,0.277020683,-0.642187782,0.056710268,-0.74483516,0,0,0.394716915,0.11,0.05,0.083333333,0.166666667,0.28,0.166666667
17,0.700023541,0.694224174,0.82087036,0.500699729,0.333225783,0.127208545,0,-0.086750063,-0.324442842,-0.272165527,-0.10218265,2.066323763,0.223606798,0.328846073,,0.413837477,-0.413837477,0,-0.534522484,-0.400824126,0.25,0.1,0.333333333,0.208333333,0.25,-0.041666667
18,-0.632534976,-0.286280794,-2.645758084,0.290347364,-1.110580986,0,,-0.124273953,0.534522484,0.534522484,0.031752593,-0.911834717,0.223606798,0.096633227,-0.348092902,-0.111078532,-0.411960719,0,-0.324442842,0.030505695,0.16,0.19,0.083333333,0.291666667,-0.05,0.041666667
19,0.164151839,0.584027876,-0.134419729,0.293253889,0.809439217,-0.042396303,0.534522484,0.353899164,0,0.324442842,0.219237256,1.662866657,-0.223606798,-0.124977254,0.534522484,0.94966814,0.244269598,0,0.534522484,-0.890795746,-0.4,0.61,0,0.375,0.21,0.041666667
20,0.676969289,-0.444929274,0.114696894,-0.301066475,0.322903014,-0.404655591,0.534522484,-0.280411406,0.67936622,0.676123404,-0.137506435,-1.394577115,-0.316227766,-0.36088473,0.24725568,0.573994654,-0.365790082,0,0.458831468,-0.681576739,0.07,0.08,0.166666667,0.25,0.01,0.083333333
21,1.111930895,1.62840844,1.300691423,-0.395910251,1.907287826,0,,0.534522484,-0.534522484,-0.534522484,-0.168216598,0.826641888,0.316227766,0.234222798,0.534522484,0.835527994,0.153629696,0,0,-0.990434208,-0.09,-0.05,0.041666667,-0.125,-0.04,0.166666667
22,-1.320343556,-2.296029802,-0.3559003,0.492721203,-1.327265631,-0.024750879,,1.076078762,-0.917662935,-0.917662935,0.03088868,-1.084023354,0,-0.38803513,,-0.40185212,0.40185212,0,,0.337948007,-0.14,0.25,-0.041666667,0.125,0.27,0.166666667
